Serial No,Date,Entry Time,Exit Time,Position Type,Entry Price,Exit Price,Profit
82,2024-10-09,11:45,15:15,buy,1642.55,1637.9,-4.65
83,2024-10-10,09:45,13:30,buy,1637.55,1650.5,12.95
84,2024-10-10,14:45,15:00,sell,1660.3,1663.0,-2.7
85,2024-10-10,15:00,15:15,buy,1663.0,1662.55,-0.45
86,2024-10-14,09:30,13:15,buy,1676.95,1683.9,6.95
87,2024-10-15,09:45,10:00,sell,1683.55,1682.35,1.2
88,2024-10-15,10:00,15:15,buy,1682.35,1686.0,3.65
89,2024-10-16,10:00,10:15,sell,1699.55,1699.7,-0.15
90,2024-10-16,10:15,15:15,buy,1699.7,1700.5,0.8
91,2024-10-18,10:00,13:45,buy,1664.0,1690.0,26.0
92,2024-10-21,14:00,15:15,sell,1734.75,1725.0,9.75
93,2024-10-23,12:00,12:15,sell,1736.6,1738.45,-1.85
94,2024-10-23,12:15,15:15,buy,1738.45,1736.2,-2.25
95,2024-10-24,10:00,13:45,buy,1760.2,1753.25,-6.95
96,2024-10-24,14:30,15:15,sell,1749.3,1749.2,0.1
97,2024-10-25,10:15,13:45,sell,1735.0,1736.9,-1.9
98,2024-10-25,14:45,15:15,buy,1741.4,1745.8,4.4
99,2024-10-28,09:45,13:30,buy,1748.95,1736.65,-12.3
100,2024-10-29,11:30,14:00,buy,1737.75,1762.65,24.9
101,2024-10-30,09:30,09:45,sell,1742.5,1743.15,-0.65
102,2024-10-30,09:45,15:15,buy,1743.15,1737.0,-6.15
103,2024-10-31,10:00,10:15,sell,1731.2,1734.25,-3.05
104,2024-10-31,10:15,15:15,buy,1734.25,1734.3,0.05
105,2024-11-04,10:00,13:30,sell,1735.65,1717.05,18.6
106,2024-11-05,10:15,10:30,buy,1720.05,1710.85,-9.2
107,2024-11-05,11:15,11:30,sell,1712.45,1706.35,6.1
108,2024-11-05,11:30,13:15,buy,1706.35,1736.45,30.1
109,2024-11-06,10:15,10:30,sell,1747.55,1748.45,-0.9
110,2024-11-06,10:30,15:15,buy,1748.45,1756.5,8.05
111,2024-11-07,13:15,13:30,sell,1745.6,1743.1,2.5
112,2024-11-07,13:30,15:15,buy,1743.1,1742.1,-1.0
113,2024-11-08,14:00,15:15,sell,1757.35,1751.45,5.9
114,2024-11-11,12:15,12:30,sell,1775.8,1775.45,0.35
115,2024-11-11,12:30,15:15,buy,1775.45,1763.95,-11.5
116,2024-11-13,09:15,10:00,buy,1726.25,1712.25,-14.0
117,2024-11-14,10:30,10:45,sell,1692.75,1686.35,6.4
118,2024-11-14,10:45,15:15,buy,1686.35,1694.3,7.95
119,2024-11-18,09:45,13:30,buy,1715.8,1709.5,-6.3
120,2024-11-19,09:30,13:15,buy,1724.75,1749.55,24.8
121,2024-11-19,14:00,15:15,sell,1743.9,1737.0,6.9
122,2024-11-21,11:30,15:15,buy,1742.0,1739.95,-2.05
123,2024-11-22,10:15,10:30,sell,1739.1,1734.9,4.2
124,2024-11-22,10:30,15:15,buy,1734.9,1742.1,7.2
125,2024-11-25,14:30,15:15,buy,1772.5,1778.95,6.45
126,2024-11-26,09:45,10:00,sell,1778.7,1780.15,-1.45
127,2024-11-26,10:00,15:15,buy,1780.15,1786.3,6.15
128,2024-11-28,09:15,10:30,buy,1827.5,1808.9,-18.6
129,2024-11-29,10:00,10:15,sell,1786.35,1790.15,-3.8
130,2024-11-29,10:15,15:15,buy,1790.15,1795.5,5.35
131,2024-12-02,14:45,15:00,sell,1800.65,1804.9,-4.25
132,2024-12-02,15:00,15:15,buy,1804.9,1804.45,-0.45
133,2024-12-03,10:15,14:00,buy,1835.0,1829.75,-5.25
134,2024-12-04,09:30,13:15,buy,1839.95,1857.25,17.3
135,2024-12-04,14:15,14:30,sell,1861.35,1862.8,-1.45
136,2024-12-04,14:30,15:15,buy,1862.8,1856.8,-6.0
137,2024-12-05,13:15,13:30,sell,1863.95,1867.1,-3.15
138,2024-12-05,13:30,14:45,buy,1867.1,1857.5,-9.6
139,2024-12-06,11:00,11:15,sell,1859.0,1855.95,3.05
140,2024-12-06,11:15,15:15,buy,1855.95,1855.4,-0.55
141,2024-12-09,10:00,10:15,sell,1864.3,1870.6,-6.3
142,2024-12-09,10:15,15:15,buy,1870.6,1867.55,-3.05
143,2024-12-10,10:30,12:15,sell,1867.25,1864.95,2.3
144,2024-12-10,12:15,15:15,buy,1864.95,1867.65,2.7
145,2024-12-11,11:45,12:00,sell,1867.05,1866.5,0.55
146,2024-12-11,12:00,15:15,buy,1866.5,1862.5,-4.0
147,2024-12-12,12:00,12:30,sell,1859.7,1858.1,1.6
148,2024-12-12,12:30,15:15,buy,1858.1,1858.0,-0.1
149,2024-12-13,12:45,15:15,buy,1859.55,1875.0,15.45
150,2024-12-16,10:45,11:00,sell,1862.75,1862.0,0.75
151,2024-12-16,11:00,15:15,buy,1862.0,1862.0,0.0
152,2024-12-18,09:30,09:45,buy,1833.5,1820.3,-13.2
153,2024-12-19,09:30,13:15,buy,1786.05,1795.0,8.95
154,2024-12-20,09:15,09:30,sell,1786.9,1791.2,-4.3
155,2024-12-20,09:30,09:45,buy,1791.2,1778.25,-12.95
156,2024-12-20,12:00,15:15,sell,1792.25,1777.0,15.25
157,2024-12-23,10:00,13:45,buy,1803.5,1795.2,-8.3
158,2024-12-24,09:15,12:45,sell,1794.55,1800.55,-6.0
159,2024-12-26,09:15,13:00,buy,1803.1,1789.65,-13.45
160,2024-12-27,09:15,13:00,buy,1795.4,1793.05,-2.35
161,2024-12-30,10:00,12:15,buy,1798.5,1800.5,2.0
162,2024-12-30,13:00,15:15,sell,1793.55,1778.05,15.5
163,2024-12-31,14:15,15:15,sell,1771.5,1773.8,-2.3
164,2025-01-01,10:00,13:45,buy,1772.7,1790.0,17.3
165,2025-01-01,14:45,15:15,sell,1781.95,1784.8,-2.85
166,2025-01-02,10:15,14:00,buy,1791.75,1793.95,2.2
167,2025-01-03,09:30,13:00,sell,1776.55,1759.6,16.95
168,2025-01-06,10:30,14:00,sell,1729.05,1706.95,22.1
169,2025-01-07,09:15,13:00,buy,1715.9,1713.6,-2.3
170,2025-01-07,13:45,15:15,sell,1711.65,1712.0,-0.35
171,2025-01-08,14:00,15:15,buy,1695.15,1694.2,-0.95
172,2025-01-10,13:15,15:15,sell,1661.2,1658.0,3.2
173,2025-01-13,09:45,10:00,sell,1626.0,1636.15,-10.15
174,2025-01-13,10:00,15:15,buy,1636.15,1632.1,-4.05
175,2025-01-14,11:30,11:45,sell,1644.0,1642.75,1.25
176,2025-01-14,11:45,15:15,buy,1642.75,1650.7,7.95
177,2025-01-15,13:00,15:15,sell,1646.25,1645.75,0.5
178,2025-01-16,11:30,15:15,buy,1651.75,1654.85,3.1
179,2025-01-17,13:00,14:15,sell,1635.0,1637.1,-2.1
180,2025-01-17,14:15,15:15,buy,1637.1,1635.3,-1.8
181,2025-01-20,10:15,14:00,buy,1643.65,1651.95,8.3
182,2025-01-21,12:45,15:15,buy,1646.3,1645.0,-1.3
183,2025-01-22,14:00,15:15,buy,1653.0,1671.9,18.9
184,2025-01-23,10:00,13:45,buy,1673.35,1666.35,-7.0
185,2025-01-24,12:30,13:15,sell,1661.55,1653.85,7.7
186,2025-01-24,13:15,15:15,buy,1653.85,1645.0,-8.85
187,2025-01-27,10:15,10:30,sell,1628.8,1628.25,0.55
188,2025-01-27,10:30,15:15,buy,1628.25,1629.5,1.25
189,2025-01-28,13:15,13:30,sell,1678.65,1676.2,2.45
190,2025-01-28,13:30,15:15,buy,1676.2,1672.6,-3.6
191,2025-01-30,10:45,11:00,sell,1681.9,1685.7,-3.8
192,2025-01-30,11:00,15:15,buy,1685.7,1694.0,8.3
193,2025-01-31,10:00,10:15,sell,1687.45,1689.9,-2.45
194,2025-01-31,10:15,15:15,buy,1689.9,1700.0,10.1
195,2025-02-03,09:15,09:30,sell,1680.95,1679.65,1.3
196,2025-02-03,09:30,15:15,buy,1679.65,1679.6,-0.05
197,2025-02-04,10:00,10:15,sell,1691.95,1693.55,-1.6
198,2025-02-04,10:15,15:15,buy,1693.55,1716.3,22.75
199,2025-02-10,10:00,11:00,sell,1712.75,1712.4,0.35
200,2025-02-10,11:00,15:15,buy,1712.4,1716.2,3.8
201,2025-02-12,12:45,15:15,buy,1705.5,1710.6,5.1
202,2025-02-13,12:00,12:15,sell,1710.8,1711.3,-0.5
203,2025-02-13,12:15,15:15,buy,1711.3,1698.95,-12.35
204,2025-02-14,14:15,14:30,buy,1686.7,1695.2,8.5
205,2025-02-17,09:30,10:15,sell,1687.45,1693.1,-5.65
206,2025-02-17,10:15,15:15,buy,1693.1,1719.45,26.35
207,2025-02-18,10:00,10:15,sell,1715.5,1710.0,5.5
208,2025-02-18,10:15,15:15,buy,1710.0,1723.0,13.0
209,2025-02-19,09:45,13:30,buy,1730.65,1730.4,-0.25
210,2025-02-19,14:15,14:45,sell,1720.45,1726.6,-6.15
211,2025-02-19,14:45,15:15,buy,1726.6,1723.15,-3.45
212,2025-02-20,11:45,12:45,sell,1691.2,1689.4,1.8
213,2025-02-20,12:45,15:15,buy,1689.4,1685.95,-3.45
214,2025-02-21,13:15,13:45,sell,1686.4,1688.95,-2.55
215,2025-02-21,13:45,15:15,buy,1688.95,1690.0,1.05
216,2025-02-25,09:30,13:15,buy,1683.05,1684.5,1.45
217,2025-03-03,09:45,13:00,sell,1724.45,1705.2,19.25
218,2025-03-03,13:00,15:15,buy,1705.2,1703.95,-1.25
219,2025-03-04,11:30,11:45,sell,1700.95,1702.7,-1.75
220,2025-03-04,11:45,15:15,buy,1702.7,1710.75,8.05
221,2025-03-07,09:15,12:45,sell,1689.05,1689.8,-0.75
222,2025-03-10,09:15,13:00,buy,1691.5,1697.55,6.05
223,2025-03-11,14:15,15:15,sell,1685.85,1688.0,-2.15
224,2025-03-12,11:45,12:00,sell,1706.3,1710.0,-3.7
225,2025-03-12,12:00,15:15,buy,1710.0,1711.8,1.8
226,2025-03-13,10:45,12:45,sell,1719.1,1711.1,8.0
227,2025-03-13,12:45,15:15,buy,1711.1,1705.0,-6.1
228,2025-03-18,10:00,13:45,buy,1732.0,1731.8,-0.2
229,2025-03-19,10:15,14:00,buy,1737.4,1746.95,9.55
230,2025-03-20,11:15,13:15,sell,1752.85,1763.65,-10.8
231,2025-03-20,13:15,15:15,buy,1763.65,1768.0,4.35
232,2025-03-21,10:15,14:00,buy,1764.55,1763.45,-1.1
233,2025-03-24,09:45,13:30,buy,1789.9,1792.95,3.05
234,2025-03-25,09:45,13:30,buy,1827.9,1831.2,3.3
235,2025-03-27,09:45,13:30,buy,1818.65,1839.7,21.05
236,2025-03-28,09:30,13:00,sell,1824.1,1815.7,8.4
237,2025-03-28,14:00,15:15,buy,1828.95,1826.0,-2.95
238,2025-04-01,10:00,10:15,sell,1797.9,1787.2,10.7
239,2025-04-02,11:15,11:30,sell,1790.45,1789.75,0.7
240,2025-04-02,11:30,15:15,buy,1789.75,1798.9,9.15
241,2025-04-03,10:00,13:45,buy,1796.65,1791.7,-4.95
242,2025-04-07,09:30,09:45,sell,1767.05,1759.8,7.25
243,2025-04-07,09:45,15:00,buy,1759.8,1758.6,-1.2
244,2025-04-08,10:00,10:15,sell,1761.95,1766.0,-4.05
245,2025-04-08,10:15,10:30,buy,1766.0,1758.5,-7.5
246,2025-04-08,11:15,11:30,sell,1754.8,1757.25,-2.45
247,2025-04-08,11:30,15:15,buy,1757.25,1769.9,12.65
248,2025-04-09,12:45,14:00,sell,1754.6,1757.6,-3.0
249,2025-04-09,14:00,15:15,buy,1757.6,1765.6,8.0
250,2025-04-11,10:15,10:30,sell,1801.3,1802.15,-0.85
251,2025-04-11,10:30,15:15,buy,1802.15,1805.2,3.05
252,2025-04-16,10:15,10:30,sell,1869.1,1864.0,5.1
253,2025-04-16,10:30,15:15,buy,1864.0,1875.9,11.9
,TOTAL,,,,,,510.55
